"Story","Title","Result","Date","Stability","Duration (s)"
"Comprar ingresso Thermas dos Laranjais","Comprar ingresso Thermas dos Laranjais","SUCCESS","2018-02-22T10:16:09.465-03:00","0.0","70.48"
"Consultar se há promoção no trajeto Angra dos Reis-Rio de Janeiro","Consultar se há promoção no trajeto Angra dos Reis-Rio de Janeiro","SUCCESS","2018-02-22T10:17:21.221-03:00","0.0","32.41"
"Consultar vôo economico de São Paulo para Bahia","Consultar vôo economico de São Paulo para Bahia","SUCCESS","2018-02-22T10:15:30.875-03:00","0.0","37.96"
"Reservar diária hotel 5 estrelas São Paulo","Reservar diária hotel 5 estrelas São Paulo","SUCCESS","2018-02-22T10:17:55.745-03:00","0.0","116.16"
"Selecionar hotel 5 estrelas Rio de Janeiro","Selecionar hotel 5 estrelas Rio de Janeiro","SUCCESS","2018-02-22T10:12:27.394-03:00","0.0","171.5"
