"Story","Title","Result","Date","Stability","Duration (s)"
"Comprar ingresso Thermas dos Laranjais","Comprar ingresso Thermas dos Laranjais","SUCCESS","2018-02-08T13:08:12.359-02:00","0.0","50.31"
"Consultar se há promoção no trajeto Angra dos Reis-Rio de Janeiro","Consultar se há promoção no trajeto Angra dos Reis-Rio de Janeiro","SUCCESS","2018-02-08T13:48:02.507-02:00","0.0","64.62"
"Consultar vôo economico de São Paulo para Bahia","Consultar vôo economico de São Paulo para Bahia","SUCCESS","2018-02-08T13:04:23.222-02:00","0.0","35.86"
"Reservar diária hotel 5 estrelas São Paulo","Reservar diária hotel 5 estrelas São Paulo","SUCCESS","2018-02-16T10:27:12.302-02:00","0.0","113.84"
"Selecionar hotel 5 estrelas Rio de Janeiro","Selecionar hotel 5 estrelas Rio de Janeiro","SUCCESS","2018-02-08T13:03:13.232-02:00","0.0","63.72"
