"Story","Title","Result","Date","Stability","Duration (s)"
"Comprar ingresso Thermas dos Laranjais","Comprar ingresso Thermas dos Laranjais","SUCCESS","2018-02-08T10:08:46.812-02:00","0.0","86.62"
"Consultar vôo economico de São Paulo para Bahia","Consultar vôo economico de São Paulo para Bahia","SUCCESS","2018-02-07T13:46:52.502-02:00","0.0","33.36"
"Selecionar hotel 5 estrelas Rio de Janeiro","Selecionar hotel 5 estrelas Rio de Janeiro","SUCCESS","2018-02-06T13:00:47.726-02:00","0.0","184.27"
