"Story","Title","Result","Date","Stability","Duration (s)"
"Adicionar ao carrinho camisa seleção brasileira","Adicionar ao carrinho camisa seleção brasileira","SUCCESS","2018-02-05T12:35:02.397-02:00","0.0","61.06"
"Adicionar tênis ao carrinho (qualquer um)","Adicionar tênis ao carrinho","SUCCESS","2018-02-05T11:48:18.920-02:00","0.0","81.94"
"Escolher um calçado na seção outlet com valor abaixo de R$150,00","Escolher um calçado na seção outlet com valor abaixo de R$150,00","SUCCESS","2018-02-05T14:12:14.568-02:00","0.0","106.7"
