"Story","Title","Result","Date","Stability","Duration (s)"
"Adicionar ao carrinho camisa seleção brasileira","Adicionar ao carrinho camisa seleção brasileira","SUCCESS","2018-02-22T10:35:21.691-03:00","0.0","90.69"
"Adicionar qualquer item ao carrinho e calcular frete até o CEP da RSI Matriz","Adicionar qualquer item ao carrinho e calcular frete até o CEP da RSI Matriz","SUCCESS","2018-02-22T10:38:45.105-03:00","0.0","66.8"
"Adicionar qualquer item no carrinho, Limpar Carrinho e voltar para loja","Adicionar qualquer item no carrinho, Limpar Carrinho e voltar para loja","SUCCESS","2018-02-22T10:39:52.735-03:00","0.0","89.23"
"Adicionar tênis ao carrinho (qualquer um)","Adicionar tênis ao carrinho","SUCCESS","2018-02-22T10:33:34.917-03:00","0.0","102.67"
"Escolher um calçado na seção outlet com valor abaixo de R$150,00","Escolher um calçado na seção outlet com valor abaixo de R$150,00","SUCCESS","2018-02-22T10:36:54.068-03:00","0.0","109.54"
