"Story","Title","Result","Date","Stability","Duration (s)"
"Adicionar ao carrinho camisa seleção brasileira","Adicionar ao carrinho camisa seleção brasileira","SUCCESS","2018-02-05T12:35:02.397-02:00","0.0","61.06"
"Adicionar qualquer item ao carrinho e calcular frete até o CEP da RSI Matriz","Adicionar qualquer item ao carrinho e calcular frete até o CEP da RSI Matriz","SUCCESS","2018-02-06T09:36:20.337-02:00","0.0","59.93"
"Adicionar qualquer item no carrinho, Limpar Carrinho e voltar para loja","Adicionar qualquer item no carrinho, Limpar Carrinho e voltar para loja","SUCCESS","2018-02-06T10:12:22.856-02:00","0.0","73.79"
"Adicionar tênis ao carrinho (qualquer um)","Adicionar tênis ao carrinho","SUCCESS","2018-02-06T10:24:52.222-02:00","0.0","59.57"
"Escolher um calçado na seção outlet com valor abaixo de R$150,00","Escolher um calçado na seção outlet com valor abaixo de R$150,00","SUCCESS","2018-02-05T14:12:14.568-02:00","0.0","106.7"
