"Story","Title","Result","Date","Stability","Duration (s)"
"Acessar aba das vantagens do cartão Sou Barato","Acessar aba das vantagens do cartão Sou Barato","SUCCESS","2018-02-22T11:03:02.143-03:00","0.0","93.73"
"Adicionar ao carrinho um item da seção Produtos Reembalados","Adicionar ao carrinho um item da seção Produtos Reembalados","SUCCESS","2018-02-22T10:53:52.505-03:00","0.0","187.36"
"Adicionar geladeira Brastemp ao carrinho(obs: Navegar até a seção geladeira e freezers via menu)","Adicionar geladeira Brastemp ao carrinho","SUCCESS","2018-02-22T10:57:09.306-03:00","0.0","157.64"
"Adicionar um Iphone ao carrinho.","Adicionar um Iphone ao carrinho","SUCCESS","2018-02-22T10:59:48.228-03:00","0.0","192.21"
"Calcular frete de qualquer item até o CEP da RSI Matriz","Calcular frete de qualquer item até o CEP da RSI Matriz","SUCCESS","2018-02-22T11:04:37.780-03:00","0.0","147.67"
