"Story","Title","Result","Date","Stability","Duration (s)"
"Acessar aba das vantagens do cartão Sou Barato","Acessar aba das vantagens do cartão Sou Barato","SUCCESS","2018-02-02T10:35:47.054-02:00","0.0","22.03"
"Adicionar ao carrinho um item da seção Produtos Reembalados","Adicionar ao carrinho um item da seção Produtos Reembalados","SUCCESS","2018-02-01T11:36:27.353-02:00","0.0","46.06"
"Adicionar geladeira Brastemp ao carrinho(obs: Navegar até a seção geladeira e freezers via menu)","Adicionar geladeira Brastemp ao carrinho","SUCCESS","2018-02-01T15:01:00.001-02:00","0.0","41.22"
"Adicionar um Iphone ao carrinho. (obs: Buscar pelo campo de pesquisa Digite aqui sua busca)","Adicionar um Iphone ao carrinho","SUCCESS","2018-02-02T09:48:47.166-02:00","0.0","45.09"
