"Story","Title","Result","Date","Stability","Duration (s)"
"Acessar aba das vantagens do cartão Sou Barato","Acessar aba das vantagens do cartão Sou Barato","SUCCESS","2018-02-05T09:41:04.395-02:00","0.0","31.89"
"Adicionar ao carrinho um item da seção Produtos Reembalados","Adicionar ao carrinho um item da seção Produtos Reembalados","SUCCESS","2018-02-05T09:30:38.079-02:00","0.0","54.78"
"Adicionar geladeira Brastemp ao carrinho(obs: Navegar até a seção geladeira e freezers via menu)","Adicionar geladeira Brastemp ao carrinho","SUCCESS","2018-02-05T09:32:41.538-02:00","0.0","46.9"
"Adicionar um Iphone ao carrinho.","Adicionar um Iphone ao carrinho","SUCCESS","2018-02-05T09:35:01.226-02:00","0.0","67.19"
"Calcular frete de qualquer item até o CEP da RSI Matriz","Calcular frete de qualquer item até o CEP da RSI Matriz","SUCCESS","2018-02-05T09:41:37.881-02:00","0.0","64.22"
